issue_id,num_url,num_code,num_comment,num_table,count_word_title,count_word_body,readability,labeler_exper,num_file,num_add,num_delete,stargazers_count,whether_solved_by_newcomers
19964301,0,0,0,0,7,38,9.46,0,6,87,2,17330,1
54046619,0,1,0,0,6,19,6.29,0,8,58,58,9830,1
35628933,0,1,0,0,7,53,6.96,33,1,9,7,9830,1
53694087,0,3,0,1,8,77,17.53,,2,14,1,9830,1
37390680,0,0,0,0,12,11,11.58,34,1,3,2,9830,1
22770146,0,0,0,0,10,35,6.42,,2,9,5,10409,1
56303235,1,0,0,0,4,14,7.01,,4,25,6,10409,1
38298583,0,0,0,0,5,65,8.95,0,7,40,33,10409,1
43494312,1,0,0,0,7,48,10.17,,1,10,7,10409,1
50369965,0,1,0,0,8,90,12.79,,3,144,1,10409,1
61910118,1,0,0,0,8,95,14.52,233,7,33,20,10409,1
53077934,0,0,0,0,6,27,11.38,,5,60,233,10409,1
24721629,0,0,0,0,4,40,8.09,0,3,53,3,7476,1
16511571,0,0,0,0,9,86,10,0,2,3,1,15566,1
41431556,,,,,,,,0,2,130,66,3409,1
34031942,0,0,0,0,8,36,14.11,317,2,19,15,8206,1
29888195,0,0,0,0,7,0,-15.81,4,1,6,0,8206,1
34266721,0,0,0,0,5,23,9.52,306,2,15,2,8206,1
2023366,0,0,0,0,6,48,13.48,,,,,1863,1
9176948,0,0,0,0,4,31,6.2,0,3,14,12,26060,1
39315028,0,0,0,0,5,55,22.12,40,4,68,8,136126,1
18827260,0,0,0,0,4,25,9.46,0,5,0,111,136126,1
12732207,0,0,0,0,6,32,16.66,0,3,7,3,136126,1
34683947,1,1,0,0,5,64,13.34,0,1,0,1,136126,1
22761113,0,1,0,0,7,8,5.76,80,2,57,1,64262,1
56327791,0,0,0,0,9,44,23.54,0,1,41,0,64262,1
53301206,0,2,0,0,8,5,13.08,11,2,9,2,64262,1
65162393,0,0,0,0,7,103,18.36,100,1,13,6,64262,1
59639397,0,0,2,0,8,41,27.63,0,2,42,5,64262,1
54730552,1,0,2,0,4,23,52.09,56,1,25,13,64262,1
56086774,0,0,0,0,5,39,24.83,73,1,1,10,64262,1
32519498,0,1,0,0,8,21,3.34,,1,1,1,64262,1
54550273,8,0,2,0,6,19,27.9,,1,38,23,64262,1
47482631,1,0,0,0,5,126,9.19,89,1,325,49,64262,1
