id,num_commit,num_author,stargazers_count,age
16827424,2953,112,6611,40.0
31499094,1477,20,9458,26.0
68142909,2188,26,7119,11.0
101209,1075,68,2793,66.0
18115030,527,30,4067,59.0
7394527,833,35,4393,51.0
13335799,395,2,9437,41.0
3254933,335,11,2604,61.0
4851809,70,11,11681,65.0
67299844,635,38,8804,10.0
4314311,6248,160,4427,58.0
39250028,1781,175,9830,87.0
15123859,229,12,4543,103.0
54136309,1327,30,11980,18.0
31152806,15699,96,8206,29.0
22070816,679,15,7420,33.0
31719,356,21,3724,80.0
7685661,209,12,3782,51.0
3569231,211,4,2039,60.0
9322184,354,21,2003,52.0
10777706,201,24,20487,74.0
663065,747,36,8905,68.0
1528515,1125,31,18231,65.0
14286406,606,12,8052,40.0
19756175,461,21,4215,36.0
45916765,836,101,3802,19.0
51300797,296,9,3458,17.0
20150840,482,20,1637,35.0
9771049,1301,42,1490,47.0
14328,350,54,16499,86.0
1267,383,49,1591,79.0
20666911,1036,36,13897,59.0
35584,297,17,3124,79.0
11475003,548,44,18440,44.0
33622159,289,23,3556,25.0
4560965,2317,356,42298,86.0
4894767,1190,14,1434,57.0
42461512,343,7,4982,21.0
18043005,661,50,8307,51.0
2547593,274,9,20038,74.0
45313,819,17,7825,97.0
832359,783,52,1905,106.0
17147581,596,66,7027,65.0
28285259,2049,38,16806,29.0
57364078,116,13,3590,68.0
977,1516,18,7861,88.0
11443386,390,7,1861,44.0
29514774,1129,62,17916,29.0
46083313,1248,8,10556,51.0
25813988,1169,8,17239,44.0
22048045,454,11,9431,80.0
18004957,1851,198,15832,38.0
1438441,2282,172,4881,77.0
84036160,658,11,5487,22.0
46434741,359,5,4136,31.0
14703847,223,6,1820,40.0
21971963,841,17,9679,34.0
7345298,1609,84,6910,70.0
22051004,186,22,2836,34.0
13752290,455,18,11127,40.0
5062667,1637,94,9623,56.0
3532384,3633,138,8006,60.0
36775079,1362,149,18788,28.0
51689139,809,4,3381,47.0
7751311,277,35,9298,89.0
21470320,450,11,5571,51.0
13447331,1726,87,5595,41.0
13770884,899,31,7443,41.0
10947670,197,8,2609,104.0
4772476,324,9,2270,57.0
5134892,750,56,3493,78.0
1340597,168,27,11146,69.0
19807770,860,79,1457,35.0
31810056,3025,263,57508,26.0
8922876,1926,125,2966,50.0
2254769,5581,142,10121,64.0
4885,7411,96,2540,69.0
34741,388,10,6769,72.0
22224104,195,3,10648,33.0
3434493,2752,101,5412,60.0
21447351,143,10,3498,34.0
33145,1613,111,3134,116.0
1972576,782,14,14501,75.0
12972529,349,7,2857,43.0
13021,1787,123,3475,96.0
37191795,638,39,6767,30.0
86538111,160,15,11838,77.0
4794575,2425,41,2772,57.0
27392494,424,19,7303,30.0
6844808,159,6,1455,52.0
59514446,134,4,4910,13.0
42087658,107,14,5590,117.0
18109036,187,31,2323,84.0
22044857,183,19,1582,98.0
3608201,373,15,5308,60.0
62672212,82,11,2165,24.0
16513025,348,20,4717,38.0
118,129,25,6308,102.0
55564117,186,79,23470,38.0
5627614,654,45,1918,93.0
801441,7207,115,5710,68.0
168,510,47,4636,102.0
27439,3944,60,1373,112.0
210772,51,8,2952,88.0
1394747,706,45,1997,69.0
